No.,年月日,目撃年月日,時間,目撃市町村,場所,天候,目撃時のクマ,目撃時の目撃者の行動,目撃した環境,その後の対応,人身被害の有無,推定年齢,目撃頭数,注意事項,緯度,経度
33,2026/5/21,2026年5月21日.,19:00,身延町,角打地内,晴れ,道から山側へ行った,通行者,山間部,防災無線による注意喚起,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.355372,138.450062
34,2026/5/21,2026年5月21日.,18:00,大月市,富浜町山谷地内,晴れ,大月カントリークラブ周辺で目撃があり、山の方へ向かった,業務中(ゴルフ場職員）,山間部の公道,防災無線による注意喚起、警察パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.62608161,139.0163059
35,2026/5/23,2026年5月23日.,17:25,甲府市,右左口町地内,晴れ,山林内を餌を探している様子で歩いていた,近隣住民,山間部の山林内,パトロール実施、注意喚起看板を設置,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.563606,138.59731
36,2026/5/24,2026年5月24日.,14:40,身延町,岩欠地内,晴れ,中山間柵の外側にて桑の実を食べていた。その後川へ行った,近隣住民,山間部,防災無線による注意喚起、警察によるパトロール,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.454733,138.494533
37,2026/5/24,2026年5月24日.,12:10,都留市,大幡地内,曇り,目撃者が車で移動中、山中で目撃,通行者,山中,市HPにて注意喚起、警察・猟友会・市とで情報共有,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.57432,138.862833
38,2026/5/25,2026年5月25日.,18:30,身延町,八日市場地内,晴れ,親子のクマ。子２親１。目撃者はすぐに避難した,歩行者,山間部,防災無線による注意喚起,無し,オトナ・コドモ,3,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.450335,138.43885
39,2026/5/25,2026年5月25日.,15:00,甲府市,愛宕町,晴れ,クマの糞を発見,不明,山間部の公園内,パトロール実施、注意喚起看板を設置、施設の利用制限,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.67514,138.58504
40,2026/5/25,2026年5月25日.,16:00,富士河口湖町,西湖,晴れ,30ｍ先の登山道をよこぎっていった,登山者,登山道,特になし,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.506507,138.671078
41,2026/5/26,2026年5月26日.,14:00,大月市,笹子町吉久保地内,晴れ,笹子河川親水公園周辺で目撃があり、山の方へ向かった,近隣住民,山間部の公道,防災無線による注意喚起、警察パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.60126031,138.8443207
42,2026/5/27,2026年5月27日.,0:00,都留市,法能地内,晴れ,目撃者が車で移動中、バイパス上に2頭のクマを目撃,通行者,山及び川沿いのバイパス上,市HPにて注意喚起、警察・猟友会・市とで情報共有,無し,オトナ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.548073,138.915677
